ID	GRAPHEME	FREQUENCY
281	o̤	0.009259
282	ua	0.009259
283	ʔʲ	0.009259
284	ns	0.009259
285	ʈʂʰ	0.008796
286	ɡ̤	0.008796
287	ə̃ː	0.008796
288	ɠ	0.008796
289	n̠t̠ʃ	0.008796
290	ɗ̪	0.008796
291	dʷ	0.008796
292	lʷ	0.008796
293	oi	0.008796
294	ei	0.008796
295	ṵ	0.008333
296	o̰	0.008333
297	ḛ	0.008333
298	w̃	0.008333
299	d̠ʒʷ	0.008333
300	ɾʲ	0.008333
301	ɱ	0.008333
302	ɲʷ	0.008333
303	e̤	0.008333
304	i̤	0.008333
305	l̤	0.007870
306	n̰	0.007870
307	ʔː	0.007870
308	ʌ̃	0.007870
309	ʌː	0.007870
310	ṳ	0.007870
311	a̤	0.007870
312	˦˧	0.007407
313	uə	0.007407
314	˥˦	0.006944
315	t̪ː	0.006944
316	d̤	0.006944
317	m̩	0.006944
318	ɲ̟	0.006944
319	ou	0.006944
320	ɔ̤	0.006944
321	t̪ʲ	0.006944
322	zʷ	0.006944
323	s̻	0.006481
324	ʁʷ	0.006481
325	mbʷ	0.006481
326	tɬ	0.006481
327	sʼ	0.006481
328	ɵ	0.006481
329	ɟː	0.006481
330	kǃ	0.006481
331	vʲ	0.006481
332	l̰	0.006481
333	jʷ	0.006481
334	d̠ʒ̤	0.006019
335	ʈː	0.006019
336	kʼː	0.006019
337	rʲ	0.006019
338	l̠	0.006019
339	ɔi	0.006019
340	ʑ	0.006019
341	dʑ	0.006019
342	k̰	0.006019
343	p̰	0.006019
344	bʰ	0.006019
345	kʼʲ	0.006019
346	ɗː	0.006019
347	u̞	0.006019
348	a̟ː	0.005556
349	r̥	0.005556
350	n̩	0.005556
351	ie	0.005556
352	ʀ	0.005556
353	t̠ʃʼː	0.005556
354	kǀ	0.005556
355	ʏ	0.005556
356	t̪ɬ̪ʼ	0.005556
357	ɛ̤	0.005556
358	ɱf	0.005556
359	t̰	0.005556
360	lˠ	0.005093
361	ə̆	0.005093
362	ˀm	0.005093
363	ˀj	0.005093
364	hː	0.005093
365	tʼː	0.005093
366	ʒː	0.005093
367	ɓ̥	0.005093
368	ɑ̃ː	0.005093
369	n̪̥	0.005093
370	iə	0.005093
371	l̪̥	0.005093
372	d̰	0.005093
373	rʷ	0.005093
374	ɓː	0.005093
375	ɵ̞	0.004630
376	d̪ː	0.004630
377	ɒː	0.004630
378	ˀn	0.004630
