ID	GLOSS
329	DASH (OF VEHICLE)
330	DAUGHTER
331	DAUGHTER-IN-LAW (OF MAN)
332	DAUGHTER-IN-LAW (OF WOMAN)
333	DAWN
334	DAY (24 HOURS)
335	DAY (NOT NIGHT)
336	DAY AFTER TOMORROW
337	DAY BEFORE YESTERDAY
338	DEAD
339	DEAF
340	DEAR
341	DEATH
342	DEBT
343	DECEIT
344	DECREASE
345	DEEP
346	DEFEAT
347	DEFEND
348	DEFENDANT
349	DEMON
350	DENSE
351	DENY
352	DESCENDANTS
353	DESTROY
354	DEW
355	DEXTEROUS
356	DIE
357	DIE (FROM ACCIDENT)
358	DIFFICULT
359	DIG
360	DINNER (SUPPER)
361	DIRT
362	DIRTY
363	DISAPPEAR
364	DISEASE
365	DISH
366	DISTANCE
367	DISTURB
368	DITCH
369	DIVE
370	DIVIDE
371	DIVORCE
372	DO
373	DO OR MAKE
374	DOG
375	DONATE
376	DONKEY
377	DOOR
378	DOORPOST
379	DOUBT
380	DOUGH
381	DOWN
382	DOWN OR BELOW
383	DRAG
384	DRAW MILK
385	DREAM
386	DREAM (SOMETHING)
387	DRESS
388	DRIBBLE
389	DRINK
390	DRIP (EMIT LIQUID)
391	DRIP (FALL IN GLOBULES)
392	DRIVE
393	DRIVE (CATTLE)
394	DROWN
395	DRY
396	DUCK
397	DUST
398	DWELL (LIVE, RESIDE)
399	DYE
400	EAGLE
401	EAR
402	EARLOBE
403	EARLY
404	EARN
405	EARTH (SOIL)
406	EARWAX
407	EASY
408	EAT
409	EDGE
410	EGG
411	ELBOW
412	ELECTRICITY
413	ELEVATION
414	EMBERS
415	EMBRACE
416	EMERGE (APPEAR)
417	EMPTY
418	END (OF SPACE)
419	END (OF TIME)
420	ENOUGH
421	ENTER
422	ENVY
423	ESCAPE
424	EVENING
425	EVIL
426	EWE
427	EXPENSIVE
428	EXPLAIN
429	EXTINGUISH
430	EYE
431	EYEBROW
432	EYELASH
433	EYELID
434	FACE
435	FAIRY TALE
436	FAITHFUL
437	FALL
438	FALL ASLEEP
439	FAMILY
440	FAMINE
441	FAN (OBJECT)
442	FAN ACTION
443	FAR
444	FAST
445	FAT (OBESE)
446	FAT (ORGANIC SUBSTANCE)
447	FATHER
448	FATHER'S BROTHER
449	FATHER'S SISTER
450	FATHER-IN-LAW (OF MAN)
451	FATHER-IN-LAW (OF WOMAN)
452	FATHOM
453	FAULT
454	FEAR (FRIGHT)
455	FEATHER
456	FEED
457	FEEL
458	FEEL (TACTUALLY)
459	FELT
460	FEMALE
461	FEMALE (OF ANIMAL)
462	FEMALE (OF PERSON)
463	FENCE
464	FEVER
465	FEW
466	FIELD
467	FIG
468	FIGHT
469	FIN
470	FIND
471	FINE (PENALTY)
472	FINE OR THIN
473	FINGER
474	FINGERNAIL
475	FINGERNAIL OR TOENAIL
476	FINISH
477	FIR
478	FIRE
479	FIREPLACE
480	FIREWOOD
481	FIRST
482	FISH
483	FISH POISON
484	FISH TRAP
485	FISHHOOK
486	FISHING LINE
487	FISHNET
488	FIVE
489	FLAME
490	FLAT
491	FLEA
492	FLEE
493	FLESH
494	FLESH OR MEAT
495	FLOAT
496	FLOCK (OF ANIMALS)
497	FLOOR
498	FLOUR
499	FLOW
500	FLOWER
501	FLUTE
502	FLY (INSECT)
503	FLY (MOVE THROUGH AIR)
504	FOAL
505	FOAM
506	FOG
507	FOLD
508	FOLLOW
509	FOOD
510	FOOT
511	FOOTPRINT
512	FOR A LONG TIME
513	FORBID
514	FOREHEAD
515	FOREIGN
516	FOREST
517	FORGE
518	FORGET
519	FORGIVE
520	FORK
521	FORKED BRANCH
522	FORMER
523	FORTRESS
524	FORWARD
525	FOWL
526	FOX
527	FRAGRANT
528	FRESH
529	FRIEND
530	FRINGE
531	FRONT TOOTH (INCISOR)
532	FROST
533	FRUIT
534	FRY
535	FULL
536	FUR
537	FURROW
538	GAME
539	GAP (DISTANCE)
540	GARDEN
541	GARDEN-HOUSE
542	GATE
543	GATHER
544	GENTLE
545	GET
546	GHOST
547	GILL
548	GIRL
549	GIVE
550	GIVE BACK
551	GLASS
552	GLUE
553	GO
554	GO DOWN (DESCEND)
555	GO OUT
556	GO UP (ASCEND)
557	GOAT
558	GOD
559	GOLD
560	GOOD
561	GOOD LUCK
562	GOOD-LOOKING
563	GOOSE
564	GOURD
565	GOVERNMENT
566	GRAIN
567	GRANDCHILD
568	GRANDDAUGHTER
569	GRANDFATHER
570	GRANDMOTHER
571	GRANDPARENTS
572	GRANDSON
573	GRAPE
574	GRASP
575	GRASS
576	GRASS-SKIRT
577	GRAVE
578	GREEDY
579	GREEN
580	GREY
581	GRIEF
582	GRIND
583	GROAN
584	GROUND
585	GROW
586	GUAN
587	GUARD
588	GUESS
589	GUEST
590	GUEST OR STRANGER
591	GUILTY
592	GUN
593	HAIR
594	HAIR (BODY)
595	HAIR (HEAD)
596	HALF
597	HALT (STOP)
598	HAMMER
599	HAND
600	HANG
601	HANG UP
602	HAPPEN
603	HAPPINESS
604	HAPPY
605	HARD
606	HARE
607	HARVEST
608	HATE
609	HAVE
610	HAVE SEX
611	HAWK
612	HAY
613	HE
614	HE OR SHE
615	HE OR SHE OR IT
616	HE-GOAT
617	HEAD
618	HEAD LOUSE
619	HEADBAND
620	HEADGEAR
621	HEALTHY
622	HEAP
623	HEAR
624	HEART
625	HEAT
626	HEAVEN
627	HEAVY
628	HEEL
629	HEIGHT
630	HELL
631	HELMET
632	HELP
633	HEN
634	HERD (SOMETHING)
635	HERE
636	HIDE (CONCEAL)
637	HIDE (ONESELF)
638	HIGH
639	HIGH TIDE
640	HILL
641	HINDER
642	HIP
643	HIRE
644	HIT
645	HITHER (HERE TO)
646	HOARFROST
647	HOE
648	HOLD
649	HOLE
650	HOLLOW OUT
651	HOLY
652	HOME
653	HONEY
654	HOOK
655	HOPE
656	HORN (ANATOMY)
657	HORSE
658	HOST
659	HOT
660	HOUR
661	HOUSE
662	HOW
663	HOW MANY
664	HOW MUCH
665	HOWL
666	HUNGER
667	HUNT
668	HURRY
669	HUSBAND
670	HUT
671	I
672	ICE
673	IDEA
674	IDOL
675	IF
676	IMITATE
677	IMMEDIATELY
678	IMPROVE (SOMETHING)
679	IN
680	IN FRONT OF
681	INCREASE
682	INJECTION
683	INJURE
